Unsorted	Matched_Master	Phase	Category	Score
2020 ELI LILLY & CO: A Phase 1, Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of Multiple-Ascending Subcutaneous Doses of XXXX in Patients with Type 2 Diabetes Mellitus.	2020 ELI LILLY & CO: A Phase 1, Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of Multiple-Ascending Subcutaneous Doses of XXXX in Patients with Type 2 Diabetes Mellitus.	Phase I	Endocrinology/Metabolic	1.000
2020 PFIZER: Phase 1, Open-Label, Fixed Sequence Study to Evaluate the Effect of Two Dose Levels of XXXX on the Pharmacokinetics of Single Oral Doses of XXXX and XXXX, Administered Separately in Adult Participants with Obesity. Ethnic Bridging	2020 PFIZER: Phase 1, Open-Label, Fixed Sequence Study to Evaluate the Effect of Two Dose Levels of XXXX on the Pharmacokinetics of Single Oral Doses of XXXX and XXXX, Administered Separately in Adult Participants with Obesity.	Phase I	Endocrinology/Metabolic	0.953
2025 IMMUNOVANT SCIENCES GmbH IMVT-1401-1005: A Phase 1, Open-Label Study to Access Pharmacodynamics, Safety and Tolerability of XXXX Following a Single Subcutaneous Dose in Healthy Participants of Japanese Origin.	2025 IMMUNOVANT SCIENCES GmbH: A Phase 1, Open-Label Study to Access Pharmacodynamics, Safety and Tolerability of XXXX Following a Single Subcutaneous Dose in Healthy Participants of Japanese Origin.	Phase I	Ethnic Bridging	0.964
2024 BRISTOLMYERSQUIBB IM045-1009: A Phase 1, Randomized, Double-blind, Placebo-controlled, Multiple Ascending Dose Study to evaluate the Safety, Tolerability, Pharmacodynamics of Orally Administered XXXX in Health Participants, Healthy Elderly Participants, and Healthy Participants of Japanese Ethnicity	2024 BRISTOLMYERSQUIBB: A Phase 1, Randomized, Double-blind, Placebo-controlled, Multiple Ascending Dose Study to evaluate the Safety, Tolerability, Pharmacodynamics of Orally Administered XXXX in Health Participants, Healthy Elderly Participants, and Healthy Participants of Japanese Ethnicity	Phase I	Ethnic Bridging	0.957
2024 ELI LILLY AND COMPANY J4U-MC-KTAA: Single-and Multiple-Ascending Dose Study to Evaluate the Safety and Pharmacokinetics of XXXX Following Oral Dosing in Healthy Participants	2024 ELI LILLY AND COMPANY: Single-and Multiple-Ascending Dose Study to Evaluate the Safety and Pharmacokinetics of XXXX Following Oral Dosing in Healthy Participants	Phase I	Ethnic Bridging	0.964
2023 VENTYX: A Phase 1, Open-Label, Single and Multiple Dose Study to Evaluate the Pharmacokinetics, Safety, and Tolerability of XXXX Following an Oral Administration in Healthy Japanese and Caucasian Subjects	2023 VENTYX: A Phase 1, Open-Label, Single and Multiple Dose Study to Evaluate the Pharmacokinetics, Safety, and Tolerability of XXXX Following an Oral Administration in Healthy Japanese and Caucasian Subjects	Phase I	Ethnic Bridging	1.000
2023 GASHERBRUM: A Phase 1, Randomized, Double-blind, Placebo-controlled Trial of the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of Multiple Ascending Doses of XXXX in Japanese and Non-Japanese Healthy Volunteers	2023 GASHERBRUM: A Phase 1, Randomized, Double-blind, Placebo-controlled Trial of the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of Multiple Ascending Doses of XXXX in Japanese and Non-Japanese Healthy Volunteers	Phase I	Ethnic Bridging	1.000
2022 INTRA-CELLULAR: An Open-Label, Ascending Dose Study to Evaluate the Pharmacokinetics, Safety and Tolerability of XXXX in Healthy Japanese and Healthy Caucasian Subjects	2022 INTRA-CELLULAR: An Open-Label, Ascending Dose Study to Evaluate the Pharmacokinetics, Safety and Tolerability of XXXX in Healthy Japanese and Healthy Caucasian Subjects	Phase I	Ethnic Bridging	1.000
2022 BRISTOL-MYERS SQUIBB: A Double-blind, Placebo-controlled, Randomized, Multiple Ascending Dose Study of the Safety, Tolerability, and Pharmacokinetics of XXXX in Healthy Participants of Japanese Descent	2022 BRISTOL-MYERS SQUIBB: A Double-blind, Placebo-controlled, Randomized, Multiple Ascending Dose Study of the Safety, Tolerability, and Pharmacokinetics of XXXX in Healthy Participants of Japanese Descent	Phase I	Ethnic Bridging	1.000
2022 CINCOR: A Phase 1 Single and Multiple Dose Study to Assess the Safety, Pharmacokinetics, and Pharmacodynamics of XXXX in Healthy Japanese and Caucasian Subjects	2022 CINCOR: A Phase 1 Single and Multiple Dose Study to Assess the Safety, Pharmacokinetics, and Pharmacodynamics of XXXX in Healthy Japanese and Caucasian Subjects	Phase I	Ethnic Bridging	1.000
2021 ELI LILLY & COMPANY: A Phase 1, Randomized, Participant-and Investigator-Blind, Placebo-Controlled, Single-and Multiple-Ascending Dose, Drug-Drug Interaction and Food Effect Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of XXXX in Healthy Non-Japanese and Japanese Participants.	2021 ELI LILLY & COMPANY: A Phase 1, Randomized, Participant-and Investigator-Blind, Placebo-Controlled, Single-and Multiple-Ascending Dose, Drug-Drug Interaction and Food Effect Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of XXXX in Healthy Non-Japanese and Japanese Participants.	Phase I	Ethnic Bridging	1.000
2021 GLAXOSMITHKLINE: A Phase I, Single-Blind, Randomized, Single-Dose Clinical Pharmacology Study To Investigate The Pharmacokinetics, Safety, And Tolerability Of XXXX Vs Placebo By Intravenous Or Intramuscular Administration In Healthy Japanese And Caucasian Participants.	2021 GLAXOSMITHKLINE: A Phase I, Single-Blind, Randomized, Single-Dose Clinical Pharmacology Study To Investigate The Pharmacokinetics, Safety, And Tolerability Of XXXX Vs Placebo By Intravenous Or Intramuscular Administration In Healthy Japanese And Caucasian Participants.	Phase I	Ethnic Bridging	1.000
2021 UCB BIOPHARMA: A Placebo-Controlled, Double-Blind, Randomized Study to Assess the Safety, Tolerability, and Pharmacokinetics (PK) of XXXX XXXX in Healthy Japanese, Chinese, and Caucasian Participants	2021 UCB BIOPHARMA: A Placebo-Controlled, Double-Blind, Randomized Study to Assess the Safety, Tolerability, and Pharmacokinetics (PK) of XXXX XXXX in Healthy Japanese, Chinese, and Caucasian Participants	Phase I	Ethnic Bridging	1.000
2020 BIOGEN: A Phase 1, Randomized, Double-Blind, Placebo-Controlled, Dose-Ascending, Single Dose Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of XXXX XXXX (XXXX) in Healthy Male Japanese and Caucasian Study Participants.	2020 BIOGEN: A Phase 1, Randomized, Double-Blind, Placebo-Controlled, Dose-Ascending, Single Dose Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of XXXX XXXX (XXXX) in Healthy Male Japanese and Caucasian Study Participants.	Phase I	Ethnic Bridging	1.000
2020 CELLTRION: A Phase 1, Randomized, Double-blind, Parallel Group, Single-dose Study to Compare the Pharmacokinetics and Safety of XXXX and EU-Approved XXXX in Healthy Japanese Male Subjects Hepatology	2020 CELLTRION: A Phase 1, Randomized, Double-blind, Parallel Group, Single-dose Study to Compare the Pharmacokinetics and Safety of XXXX and EU-Approved XXXX in Healthy Japanese Male Subjects	Phase I	Ethnic Bridging	0.965
2023 PFIZER: A Phase 1, Open-label, Single-dose, Parallel Group Study to Assess Pharmacokinetics, Safety and Tolerability of XXXX in Adult Participants with Varying Degrees of Hepatic Impairment Relative to Participants Without Hepatic Impairment Gastroenterology	2023 PFIZER: A Phase 1, Open-label, Single-dose, Parallel Group Study to Assess Pharmacokinetics, Safety and Tolerability of XXXX in Adult Participants with Varying Degrees of Hepatic Impairment Relative to Participants Without Hepatic Impairment	Phase I	Hepatology	0.964
2024 ECCOGENE EC0006: An Open-Label, Randomized, Single Dose, Crossover Clinical Study to Assess the Relative Bioavailability of Current Tablet Formulation (F1) Compared to New Table Formulation (F2) of XXXX and Food Effects on F1 and F2 XXXX in Healthy Participants	2024 ECCOGENE: An Open-Label, Randomized, Single Dose, Crossover Clinical Study to Assess the Relative Bioavailability of Current Tablet Formulation (F1) Compared to New Table Formulation (F2) of XXXX and Food Effects on F1 and F2 XXXX in Healthy Participants	Phase I	Gastroenterology	0.980
2020 PVP BIOLOGICS: A Phase 1, Four-Part Study to Assess the Safety, Tolerability, Pharmacokinetics, and Gluten Degradation Activity of XXXX, XXXX, and XXXX in Healthy Adult Volunteers and to Assess the Safety, Tolerability, and Pharmacokinetics of XXXX and XXXX in Adults with Celiac Disease Immunology	2020 PVP BIOLOGICS: A Phase 1, Four-Part Study to Assess the Safety, Tolerability, Pharmacokinetics, and Gluten Degradation Activity of XXXX, XXXX, and XXXX in Healthy Adult Volunteers and to Assess the Safety, Tolerability, and Pharmacokinetics of XXXX and XXXX in Adults with Celiac Disease	Phase I	Gastroenterology	0.974
2024 GILEAD GS-US-668-6703: A Phase 1a Study to Evaluate Safety, Tolerability, and Pharmacokinetics of GS-3242 for Injection in Healthy Participants	2024 GILEAD: A Phase 1a Study to Evaluate Safety, Tolerability, and Pharmacokinetics of XXX for Injection in Healthy Participants	Phase I	Immunology	0.916
2023 BRISTOL-MYERS SQUIBB: A Phase 1 Randomized, Double-blind, Placebo-controlled, First-in-human Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of Single, Ascending Doses of XXXX in Healthy Adult Participants (Immunomodulator) Neurology	2023 BRISTOL-MYERS SQUIBB: A Phase 1 Randomized, Double-blind, Placebo-controlled, First-in-human Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of Single, Ascending Doses of XXXX in Healthy Adult Participants (Immunomodulator)	Phase I	Immunology	0.975
2024 ADEL, INC. AND OSCOTEC INC. ADEL_OSCO_Y01-P101: First in Human, Phase Ia/Ib Study for Safety, Tolerability, Pharmacokinetics, and Clinical Activity Evaluation of XXXX in Healthy Participants and in Participants with Mild Cognitive Impairment Due to Alzheimer’s Disease or Mild Alzheimer	2024 ADEL, INC. AND OSCOTEC INC.: First in Human, Phase Ia/Ib Study for Safety, Tolerability, Pharmacokinetics, and Clinical Activity Evaluation of XXXX in Healthy Participants and in Participants with Mild Cognitive Impairment Due to Alzheimer’s Disease or Mild Alzheimer	Phase I	Neurology	0.969
2023 BRISTOL-MYERS SQUIBB: A Phase 1, Open-label, Randomized, Parallel-group, Single dose Study to Assess the Relative Bioavailability of a New XXXX Immediate-release Tablet Formulation Compared to a Reference Enteric Capsule (Delayed-release) Formulation, and to Assess the Effect of Food on the Pharmacokinetics of Immediate-release Tablet Formulation in Healthy Adult Participants Vaccine	2023 BRISTOL-MYERS SQUIBB: A Phase 1, Open-label, Randomized, Parallel-group, Single dose Study to Assess the Relative Bioavailability of a New XXXX Immediate-release Tablet Formulation Compared to a Reference Enteric Capsule (Delayed-release) Formulation, and to Assess the Effect of Food on the Pharmacokinetics of Immediate-release Tablet Formulation in Healthy Adult Participants	Phase I	Neurology	0.984
2025 GILEAD GS-US-567-6968: Phase 1/2 Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Antiviral Activity of GS-4321 in Healthy Participants and Participants with Chronic Hepatitis Delta	2025 GILEAD: Phase 1/2 Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Antiviral Activity of XXX in Healthy Participants and Participants with Chronic Hepatitis Delta	Phase I	Vaccine	0.937
2025 PFIZER C6271001: A Phase 1/2 Randomized, Double-Blinded Study to Evaluate the Safety, Tolerability, And Immunogenicity of Modified RNA Vaccine Candidates Against Influenza and Covid-19 In Healthy Individuals	2025 PFIZER: A Phase 1/2 Randomized, Double-Blinded Study to Evaluate the Safety, Tolerability, And Immunogenicity of Modified RNA Vaccine Candidates Against Influenza and Covid-19 In Healthy Individuals	Phase I	Vaccine	0.972
2025 PFIZER C5211001: A Phase 1, Randomized, Double-Blind, Third-Party–Unblinded Study To Evaluate The Safety And Tolerability Of A Vaccine Against E Coli In Healthy Adults	2025 PFIZER: A Phase 1, Randomized, Double-Blind, Third-Party–Unblinded Study To Evaluate The Safety And Tolerability Of A Vaccine Against E Coli In Healthy Adults	Phase I	Vaccine	0.967
2024 ELI-LILLY&CO J4S-MC-KSAA: A Phase 1, randomized, placebo-controlled, investigator and participant blinded, single ascending dose and multiple ascending dose study to evaluate safety, tolerability, and pharmacokinetics of XXXX in healthy participants.	2024 ELI-LILLY&CO: A Phase 1, randomized, placebo-controlled, investigator and participant blinded, single ascending dose and multiple ascending dose study to evaluate safety, tolerability, and pharmacokinetics of XXXX in healthy participants.	Phase I	Vaccine	0.973
2024 MERCK SHARP&DOHME V540BA002-03: Phase 1, Randomized, Double-Blind, Comparator-Controlled, Dose-Escalation Study to Evaluate the Safety, Tolerability, and Immunogenicity of V540B in Healthy Adults.	2024 MERCK SHARP&DOHME: Phase 1, Randomized, Double-Blind, Comparator-Controlled, Dose-Escalation Study to Evaluate the Safety, Tolerability, and Immunogenicity of XXX in Healthy Adults.	Phase I	Vaccine	0.937
2024 PUBLIC HEALTH VACCINES PHV02-C-102: A Phase 1b Randomized, Observer-Blind, Placebo-Controlled Study to Evaluate the Safety and Immunogenicity of a Prime-Boost Regimen of Three Dose Levels of XXXX, a Nipah Virus Vaccine Candidate (rVSV-∆G-EBOV GP-NiVG) in Healthy Adults	2024 PUBLIC HEALTH VACCINES: A Phase 1b Randomized, Observer-Blind, Placebo-Controlled Study to Evaluate the Safety and Immunogenicity of a Prime-Boost Regimen of Three Dose Levels of XXXX, a Nipah Virus Vaccine Candidate (XXX) in Healthy Adults	Phase I	Vaccine	0.856
2024 PFIZER C4781013: A Study to Evaluate the Safety, Tolerability, and Immunogenicity of XXXX Vaccines Against Influenza in Healthy Adults Women’s Health	2024 PFIZER: A Study to Evaluate the Safety, Tolerability, and Immunogenicity of XXXX Vaccines Against Influenza in Healthy Adults	Phase I	Vaccine	0.890
2023 PFIZER: A Phase 1, Open-Label, Fixed-Sequence Study to Evaluate the Effect of Two Steady-State Dose Levels of XXXX on the Pharmacokinetics of Single-Dose XXXX, XXXX and an Oral Contraceptive, and the Effect of Steady-State XXXX on the Pharmacokinetics of Single-Dose XXXX, in Obese Adult Female Participants	2023 PFIZER: A Phase 1, Open-Label, Fixed-Sequence Study to Evaluate the Effect of Two Steady-State Dose Levels of XXXX on the Pharmacokinetics of Single-Dose XXXX, XXXX and an Oral Contraceptive, and the Effect of Steady-State XXXX on the Pharmacokinetics of Single-Dose XXXX, in Obese Adult Female Participants	Phase I	Women’s Health	1.000
2021 GILEAD SCIENCES, INC.: A Phase 1 Drug Interaction Study Evaluating the Effect of XXXX on the Pharmacokinetics of the Combined Hormonal Oral Contraceptive XXXX/XXXX in Healthy Female Subjects.	2021 GILEAD SCIENCES, INC.: A Phase 1 Drug Interaction Study Evaluating the Effect of XXXX on the Pharmacokinetics of the Combined Hormonal Oral Contraceptive XXXX/XXXX in Healthy Female Subjects.	Phase I	Women’s Health	1.000
2021 PFIZER: A Phase 1, Open-Label, Two-Part Study to Evaluate the Effect of Two Steady-State Dose Levels of XXXX On the Pharmacokinetics of Single Oral Doses of XXXX and XXXX In Healthy Adults and An Oral Contraceptive In Healthy Post-Menopausal Female. Other Indication	2021 PFIZER: A Phase 1, Open-Label, Two-Part Study to Evaluate the Effect of Two Steady-State Dose Levels of XXXX On the Pharmacokinetics of Single Oral Doses of XXXX and XXXX In Healthy Adults and An Oral Contraceptive In Healthy Post-Menopausal Female.	Phase I	Women’s Health	0.955
2024 METSERA MET097-23-101: A Phase 1/2 Randomized Placebo-Controlled Double-Blind Study to Investigate the Safety, Tolerability, Efficacy, Pharmacokinetics, and Pharmacodynamics of Subcutaneous Doses of Met097 in Adult Participants with Obesity or Overweight but Otherwise Healthy	2024 METSERA: A Phase 1/2 Randomized Placebo-Controlled Double-Blind Study to Investigate the Safety, Tolerability, Efficacy, Pharmacokinetics, and Pharmacodynamics of Subcutaneous Doses of XXX in Adult Participants with Obesity or Overweight but Otherwise Healthy	Phase I	Other Indication	0.955
2024 PFIZER C5351008: A Phase 1, Open-Label, Randomized, Single-Dose, Parallel Design, Study to Evaluate Pharmacokinetic Comparability of Two XXXX Film-Coated Tablet Formulations Administered as 150 MG Under Fasted Conditions	2024 PFIZER: A Phase 1, Open-Label, Randomized, Single-Dose, Parallel Design, Study to Evaluate Pharmacokinetic Comparability of Two XXXX Film-Coated Tablet Formulations Administered as 150 MG Under Fasted Conditions	Phase I	Other Indication	0.973
2022 CSL BEHRING: A Phase 1, Randomized, Open-Label, Parallel-Group Study to Compare the Pharmacokinetic Properties of XXXX Administered by Subcutaneous Autoinjector to Prefilled Syringe in Healthy Adult Subjects Phase II-IV Endocrinology/Metabolic	2022 CSL BEHRING: A Phase 1, Randomized, Open-Label, Parallel-Group Study to Compare the Pharmacokinetic Properties of XXXX Administered by Subcutaneous Autoinjector to Prefilled Syringe in Healthy Adult Subjects	Phase I	Other Indication	0.922
2025 VERDIVA VRB-101-201: A Randomized, Double-Blind, Placebo-Controlled Phase 2B Study of Weekly Oral Ecnoglutide (VRB-101) in Participants Who Have Obesity or Overweight with Weight-Related Comorbidities	2025 VERDIVA: A Randomized, Double-Blind, Placebo-Controlled Phase 2B Study of Weekly Oral Ecnoglutide (XXX) in Participants Who Have Obesity or Overweight with Weight-Related Comorbidities	Phase II-IV	Endocrinology/Metabolic	0.942
2025 PFIZER INC.(C5541010): A Phase 2A, Randomized, Double Blind, Sponsor-Open, Placebo-Controlled, Parallel Group, Dose-Ranging study of XXX-XX to assess Safety and Efficacy in Adult Participants with Obesity	2025 PFIZER INC.: A Phase 2A, Randomized, Double Blind, Sponsor-Open, Placebo-Controlled, Parallel Group, Dose-Ranging study of XXX-XX to assess Safety and Efficacy in Adult Participants with Obesity	Phase II-IV	Endocrinology/Metabolic	0.962
2024 AMGEN 20230143: A Phase 2 Randomized, Double-blind, Placebo-controlled, Dose-ranging Study to Evaluate the Efficacy, Safety, and Tolerability of Maridebart Cafraglutide in Adult Subjects with Type 2 Diabetes Mellitus	2024 AMGEN: A Phase 2 Randomized, Double-blind, Placebo-controlled, Dose-ranging Study to Evaluate the Efficacy, Safety, and Tolerability of XXX in Adult Subjects with Type 2 Diabetes Mellitus	Phase II-IV	Endocrinology/Metabolic	0.906
2024 GASHERBRUM GSBR-1290-06: A Phase 2b, Randomized, Double-blind, Placebo-controlled, Dose-range Finding Study of the Efficacy and Safety of Multiple Doses of GSBR-1290 in Participants Living with Obesity (Body Mass Index ≥ 30 kg/m2) or Overweight (Body Mass Index ≥ 27 kg/m2) with at Least One Weight-related Comorbidity	2024 GASHERBRUM: A Phase 2b, Randomized, Double-blind, Placebo-controlled, Dose-range Finding Study of the Efficacy and Safety of Multiple Doses of XXX in Participants Living with Obesity (Body Mass Index ≥ 30 kg/m2) or Overweight (Body Mass Index ≥ 27 kg/m2) with at Least One Weight-related Comorbidity	Phase II-IV	Endocrinology/Metabolic	0.960
2022 PFIZER: A Phase 2, Randomized, Double-Blind, Placebo-Controlled, Dose-Ranging, Dose-Finding, Parallel Group Study to Assess Efficacy and Safety of XXXX, and Open-Label Oral XXXX, in Adults with Type 2 Diabetes Mellitus (T2DM) Inadequately Controlled on Metformin, and Separately XXXX Compared to Matching Placebo in Adults with Obesity but Without T2DM.	2022 PFIZER: A Phase 2, Randomized, Double-Blind, Placebo-Controlled, Dose-Ranging, Dose-Finding, Parallel Group Study to Assess Efficacy and Safety of XXXX, and Open-Label Oral XXXX, in Adults with Type 2 Diabetes Mellitus (T2DM) Inadequately Controlled on Metformin, and Separately XXXX Compared to Matching Placebo in Adults with Obesity but Without T2DM.	Phase II-IV	Endocrinology/Metabolic	1.000
2021 ELI LILLY & COMPANY: A Phase 2 Study of Once-Daily XXXX Compared with Placebo in Participants Who Have Obesity or Are Overweight with Weight-Related Comorbidities.	2021 ELI LILLY & COMPANY: A Phase 2 Study of Once-Daily XXXX Compared with Placebo in Participants Who Have Obesity or Are Overweight with Weight-Related Comorbidities.	Phase II-IV	Endocrinology/Metabolic	1.000
2021 ELI LILLY & COMPANY: A Phase 2 Study of Once-Weekly XXXX Compared with Placebo in Participants Who Have Obesity or Are Overweight with Weight-Related Comorbidities.	2021 ELI LILLY & COMPANY: A Phase 2 Study of Once-Weekly XXXX Compared with Placebo in Participants Who Have Obesity or Are Overweight with Weight-Related Comorbidities.	Phase II-IV	Endocrinology/Metabolic	1.000
2021 PFIZER: A 26-Week, Phase 2B, 2-Part, Randomized, Double-Blind, Placebo-Controlled, Parallel Group, Dose-Ranging Study to Evaluate the Efficacy and Safety of XXXX Administration in Adults with Obesity Pain (Acute – Post Operative)	2021 PFIZER: A 26-Week, Phase 2B, 2-Part, Randomized, Double-Blind, Placebo-Controlled, Parallel Group, Dose-Ranging Study to Evaluate the Efficacy and Safety of XXXX Administration in Adults with Obesity	Phase II-IV	Endocrinology/Metabolic	0.900
2024 CALI BIOSCIENCES CPL-01-301: A Randomized, Double-Blind, Placebo- and Active-Controlled Study to Evaluate the Efficacy and Safety of XXXX in the Management of Postoperative Pain after Open Inguinal Herniorrhaphy.	2024 CALI BIOSCIENCES: A Randomized, Double-Blind, Placebo- and Active-Controlled Study to Evaluate the Efficacy and Safety of XXXX in the Management of Postoperative Pain after Open Inguinal Herniorrhaphy.	Phase II-IV	Pain (Acute – Post Operative)	0.971
2024 VIATRIS MR-107A-02-TFZ-3001: A Multi-Center, Randomized, Double-Blind, Placebo- (Double Dummy) and Active-Controlled, Parallel-Group Study of XXXX for the Treatment of Acute Postoperative Pain Following Bunionectomy	2024 VIATRIS: A Multi-Center, Randomized, Double-Blind, Placebo- (Double Dummy) and Active-Controlled, Parallel-Group Study of XXXX for the Treatment of Acute Postoperative Pain Following Bunionectomy	Phase II-IV	Pain (Acute – Post Operative)	0.956
2024 VIATRIS MR-107A-02-TFZ-3002: A Multi-Center, Randomized, Double-Blind, Placebo- (Double Dummy) and Active-Controlled, Parallel-Group Study of XXXX for the Treatment of Acute Postoperative Pain Following Herniorrhaphy	2024 VIATRIS: A Multi-Center, Randomized, Double-Blind, Placebo- (Double Dummy) and Active-Controlled, Parallel-Group Study of XXXX for the Treatment of Acute Postoperative Pain Following Herniorrhaphy	Phase II-IV	Pain (Acute – Post Operative)	0.956
2021 VERTEX PHARMACEUTICALS: A Phase 2, Randomized, Double-blind, Placebo-controlled, Dose-ranging Study Evaluating the Efficacy and Safety of XXXX for Acute Pain After a Bunionectomy. Vaccine	2021 VERTEX PHARMACEUTICALS: A Phase 2, Randomized, Double-blind, Placebo-controlled, Dose-ranging Study Evaluating the Efficacy and Safety of XXXX for Acute Pain After a Bunionectomy.	Phase II-IV	Pain (Acute – Post Operative)	0.970
2025 PFIZER C4591081: A Phase 3 Randomized, Double-Blind, Placebo-Controlled Clinical Study Evaluatiing the Safety, Tolerability, Immunogencity and Efficacy of a Variant-Adapted BNT162b2 Vaccine in Healthy Participants 50 Through 64 Years of Age	2025 PFIZER: A Phase 3 Randomized, Double-Blind, Placebo-Controlled Clinical Study Evaluatiing the Safety, Tolerability, Immunogencity and Efficacy of a Variant-Adapted XXX Vaccine in Healthy Participants 50 Through 64 Years of Age	Phase II-IV	Vaccine	0.951
2024 ICOSAVAX ICVX-12-202-RSV: A Phase 2, Randomized, Modified Double-Blind, Active Controlled Study to Characterize the Safety and Immunogenicity of XXXX in Adults 60 Years of Age and older.	2024 ICOSAVAX: A Phase 2, Randomized, Modified Double-Blind, Active Controlled Study to Characterize the Safety and Immunogenicity of XXXX in Adults 60 Years of Age and older.	Phase II-IV	Vaccine	0.960
2024 ICOSAVAX D8610C00001: A Phase 3, Global, Randomized, Modified Double-Blind, Placebo-Controlled Study to Evaluate the Efficacy, Immunogenicity, and Safety of IVX-A12, a Respiratory Syncytial Virus (RSV) and Human Metapneumovirus (hMPV) Virus-Like Particle (VLP) Vaccine, in adults 60 Years of Age and Older Other Indication	2024 ICOSAVAX: A Phase 3, Global, Randomized, Modified Double-Blind, Placebo-Controlled Study to Evaluate the Efficacy, Immunogenicity, and Safety of XXX, a Respiratory Syncytial Virus (RSV) and Human Metapneumovirus (hMPV) Virus-Like Particle (VLP) Vaccine, in adults 60 Years of Age and Older	Phase II-IV	Vaccine	0.925
2024 METSERA MET097-24-201: A Phase 2b, Multi-Center, Randomized, Placebo controlled Double-Blind Study to Investigate the Safety and Efficacy of 16 Weeks of Four Different Regimens of Once-Weekly Met097 in Participants with Obesity or Overweight	2024 METSERA: A Phase 2b, Multi-Center, Randomized, Placebo controlled Double-Blind Study to Investigate the Safety and Efficacy of 16 Weeks of Four Different Regimens of Once-Weekly XXX in Participants with Obesity or Overweight	Phase II-IV	Other Indication	0.951
2020 UPSHER-SMITH LABS: A Phase 4, Open-Label, Single-Arm Study to Evaluate the Effects of XXXX on 24-hour Ambulatory Blood Pressure Monitoring in Hypogonadal Men Using Therapeutic Testosterone Replacement Therapy.	2020 UPSHER-SMITH LABS: A Phase 4, Open-Label, Single-Arm Study to Evaluate the Effects of XXXX on 24-hour Ambulatory Blood Pressure Monitoring in Hypogonadal Men Using Therapeutic Testosterone Replacement Therapy.	Phase II-IV	Other Indication	1.000
